Sample_ID,Net_pen,Diet,Gut_segment,Organ_weight,Body_weight,Organ_somatic_index
65,107,IM33,MI,4.981,3350,0.15
66,107,IM33,MI,7.567,3986,0.19
67,108,IM66,MI,9.264,4857,0.19
68,108,IM66,MI,7.655,3500,0.22
69,108,IM66,MI,8.558,4247,0.2
70,108,IM66,MI,6.793,3663,0.19
71,108,IM66,MI,6.133,3809,0.16
72,108,IM66,MI,9.9,4403,0.22
1,109,IM66,DI,18.907,3783,0.5
2,109,IM66,DI,11.458,3826,0.3
3,109,IM66,DI,8.565,2992,0.29
4,109,IM66,DI,11.006,3080,0.36
5,109,IM66,DI,16.021,4443,0.36
6,109,IM66,DI,20.419,3923,0.52
7,110,IM100,DI,10.427,2953,0.35
8,110,IM100,DI,7.909,2774,0.29
9,110,IM100,DI,13.52,3212,0.42
10,110,IM100,DI,12.116,3712,0.33
11,110,IM100,DI,11.515,3444,0.33
12,110,IM100,DI,9.326,3303,0.28
13,111,REF,DI,7.252,3298,0.22
14,111,REF,DI,7.085,3676,0.19
15,111,REF,DI,8.948,3957,0.23
16,111,REF,DI,12.015,4144,0.29
17,111,REF,DI,14.374,3823,0.38
18,111,REF,DI,11.043,3766,0.29
19,112,IM33,DI,12.796,4459,0.29
20,112,IM33,DI,10.082,3597,0.28
21,112,IM33,DI,12.916,3876,0.33
22,112,IM33,DI,12.966,4126,0.31
23,112,IM33,DI,10.451,3269,0.32
24,112,IM33,DI,11.539,3569,0.32
25,101,REF,DI,6.938,3499,0.2
26,101,REF,DI,9.067,3799,0.24
27,101,REF,DI,6.493,3279,0.2
28,101,REF,DI,11.348,4189,0.27
29,101,REF,DI,5.583,3419,0.16
30,101,REF,DI,6.71,2994,0.22
31,102,IM33,DI,7.09,3390,0.21
32,102,IM33,DI,9.89,3995,0.25
33,102,IM33,DI,13.561,4365,0.31
34,102,IM33,DI,11.259,3525,0.32
35,102,IM33,DI,11.245,3260,0.34
36,102,IM33,DI,7.453,2726,0.27
37,103,IM66,DI,13.704,3551,0.39
38,103,IM66,DI,15.757,4319,0.36
39,103,IM66,DI,10.08,3725,0.27
40,103,IM66,DI,10.205,3774,0.27
41,103,IM66,DI,13.851,3604,0.38
42,103,IM66,DI,8.492,3760,0.23
43,104,IM100,DI,12.985,4187,0.31
44,104,IM100,DI,9.122,3231,0.28
45,104,IM100,DI,16.007,4269,0.37
46,104,IM100,DI,17.512,4746,0.37
47,104,IM100,DI,10.785,3882,0.28
48,104,IM100,DI,18.062,4379,0.41
49,105,IM100,DI,14.566,3226,0.45
50,105,IM100,DI,11.632,3383,0.34
51,105,IM100,DI,10.905,4013,0.27
52,105,IM100,DI,9.365,3911,0.24
53,105,IM100,DI,14.252,4166,0.34
54,105,IM100,DI,13.98,4352,0.32
55,106,REF,DI,11.26,3370,0.33
56,106,REF,DI,16.379,4250,0.39
57,106,REF,DI,11.926,4965,0.24
58,106,REF,DI,11.911,4355,0.27
59,106,REF,DI,12.541,3492,0.36
60,106,REF,DI,8.028,3691,0.22
61,107,IM33,DI,13.522,3753,0.36
62,107,IM33,DI,9.522,3185,0.3
63,107,IM33,DI,12.228,4312,0.28
64,107,IM33,DI,17.884,4300,0.42
65,107,IM33,DI,11.135,3350,0.33
66,107,IM33,DI,14.148,3986,0.35
67,108,IM66,DI,24.89,4857,0.51
68,108,IM66,DI,8.961,3500,0.26
69,108,IM66,DI,15.68,4247,0.37
70,108,IM66,DI,15.008,3663,0.41
71,108,IM66,DI,7.31,3809,0.19
72,108,IM66,DI,19.222,4403,0.44
