Sample_ID,Diet,Net_pen,gapdh_Cq,gapdh_PE,rnapo2_Cq,rnapo2_PE,hprt1_Cq,hprt1_PE,actb_Cq,actb_PE,Target,Target_PE,Target_Cq,Target_Cq_error,Target_func,Comments
58,REF,106,18.08,1.90 ,23.76,1.80 ,22.18,2.00 ,14.63,1.86,tnfα,1.97,33.69,0.48,immune_modulation,
59,REF,106,17.9,1.90 ,23.81,1.80 ,22.13,2.00 ,14.48,1.86,tnfα,1.97,32.49,0.01,immune_modulation,
60,REF,106,17.87,1.90 ,24.17,1.80 ,22.60,2.00 ,14.65,1.86,tnfα,1.97,32.96,0.26,immune_modulation,
7,IM,110,18.73,1.90 ,24.68,1.80 ,23.11,2.00 ,15.32,1.86,il1β,1.80 ,30.24,0.14,immune_modulation,
8,IM,110,18.22,1.90 ,23.58,1.80 ,21.72,2.00 ,14.65,1.86,il1β,1.80 ,31.22,0.18,immune_modulation,
9,IM,110,18.26,1.90 ,24.2,1.80 ,22.45,2.00 ,14.98,1.86,il1β,1.80 ,32.6,0.31,immune_modulation,32.38_32.82
10,IM,110,18.12,1.90 ,23.58,1.80 ,21.59,2.00 ,14.43,1.86,il1β,1.80 ,30.15,0.16,immune_modulation,
11,IM,110,18.24,1.90 ,24.13,1.80 ,22.18,2.00 ,14.85,1.86,il1β,1.80 ,28.66,0.12,immune_modulation,
12,IM,110,18.07,1.90 ,23.81,1.80 ,21.94,2.00 ,14.75,1.86,il1β,1.80 ,29.96,0.06,immune_modulation,
13,REF,111,18.24,1.90 ,23.91,1.80 ,22.08,2.00 ,14.9,1.86,il1β,1.80 ,29.81,0.06,immune_modulation,
14,REF,111,18.14,1.90 ,23.75,1.80 ,22.13,2.00 ,14.74,1.86,il1β,1.80 ,29.96,0.23,immune_modulation,
15,REF,111,18.29,1.90 ,24.02,1.80 ,22.19,2.00 ,15.09,1.86,il1β,1.80 ,32.43,0.23,immune_modulation,
16,REF,111,18.07,1.90 ,24.14,1.80 ,22.49,2.00 ,14.8,1.86,il1β,1.80 ,31.64,0.38,immune_modulation,31.37_31.91
17,REF,111,18.25,1.90 ,24.25,1.80 ,22.37,2.00 ,14.92,1.86,il1β,1.80 ,32.27,0.31,immune_modulation,32.05_32.49
18,REF,111,18.45,1.90 ,24.13,1.80 ,22.64,2.00 ,15,1.86,il1β,1.80 ,32.46,0.56,immune_modulation,32.06_32.85
25,REF,101,18.44,1.90 ,24.06,1.80 ,22.43,2.00 ,14.94,1.86,il1β,1.80 ,31.24,0.3,immune_modulation,
26,REF,101,18.01,1.90 ,23.66,1.80 ,21.64,2.00 ,14.45,1.86,il1β,1.80 ,32.09,0.19,immune_modulation,
27,REF,101,18.13,1.90 ,23.82,1.80 ,22,2.00 ,14.79,1.86,il1β,1.80 ,31.94,0.43,immune_modulation,31.63_32.24
28,REF,101,17.98,1.90 ,23.89,1.80 ,22.22,2.00 ,14.7,1.86,il1β,1.80 ,30.28,0.03,immune_modulation,
29,REF,101,17.97,1.90 ,23.9,1.80 ,22.14,2.00 ,14.57,1.86,il1β,1.80 ,30.05,0.02,immune_modulation,
30,REF,101,17.9,1.90 ,23.92,1.80 ,22.4,2.00 ,14.5,1.86,il1β,1.80 ,29.94,0.13,immune_modulation,
43,IM,104,18.2,1.90 ,24.09,1.80 ,22.47,2.00 ,14.88,1.86,il1β,1.80 ,30.29,0.05,immune_modulation,
44,IM,104,18.19,1.90 ,23.73,1.80 ,21.86,2.00 ,14.75,1.86,il1β,1.80 ,31.09,0.24,immune_modulation,
45,IM,104,17.79,1.90 ,23.77,1.80 ,22.37,2.00 ,14.59,1.86,il1β,1.80 ,29.03,0.1,immune_modulation,
46,IM,104,17.92,1.90 ,23.91,1.80 ,21.95,2.00 ,14.51,1.86,il1β,1.80 ,29.61,0.03,immune_modulation,
47,IM,104,17.93,1.90 ,24.05,1.80 ,22.51,2.00 ,14.42,1.86,il1β,1.80 ,31.47,0.03,immune_modulation,
48,IM,104,17.8,1.90 ,24.08,1.80 ,22.4,2.00 ,14.49,1.86,il1β,1.80 ,29.9,0.11,immune_modulation,
49,IM,105,18.33,1.90 ,23.96,1.80 ,21.88,2.00 ,14.79,1.86,il1β,1.80 ,30.46,2.92,immune_modulation,30.46_34.59
50,IM,105,18.34,1.90 ,24.11,1.80 ,22.5,2.00 ,14.81,1.86,il1β,1.80 ,31.5,0.23,immune_modulation,
51,IM,105,18.24,1.90 ,24.02,1.80 ,22.29,2.00 ,15.02,1.86,il1β,1.80 ,30.12,0.04,immune_modulation,
52,IM,105,18.18,1.90 ,23.91,1.80 ,21.88,2.00 ,14.89,1.86,il1β,1.80 ,30.76,0.1,immune_modulation,
53,IM,105,17.79,1.90 ,23.77,1.80 ,22.16,2.00 ,14.45,1.86,il1β,1.80 ,29.39,0.09,immune_modulation,
54,IM,105,18.12,1.90 ,23.87,1.80 ,22.28,2.00 ,14.75,1.86,il1β,1.80 ,30.99,0.09,immune_modulation,
55,REF,106,17.86,1.90 ,23.74,1.80 ,22.11,2.00 ,14.4,1.86,il1β,1.80 ,32.53,0.68,immune_modulation,32.05_33.01
56,REF,106,18.05,1.90 ,24.06,1.80 ,22.38,2.00 ,14.65,1.86,il1β,1.80 ,32.21,0.49,immune_modulation,31.86_32.56
57,REF,106,17.79,1.90 ,24.04,1.80 ,22.11,2.00 ,14.69,1.86,il1β,1.80 ,29.79,0.08,immune_modulation,
58,REF,106,18.08,1.90 ,23.76,1.80 ,22.18,2.00 ,14.63,1.86,il1β,1.80 ,29.97,0.03,immune_modulation,
59,REF,106,17.9,1.90 ,23.81,1.80 ,22.13,2.00 ,14.48,1.86,il1β,1.80 ,32.33,0.07,immune_modulation,
60,REF,106,17.87,1.90 ,24.17,1.80 ,22.60,2.00 ,14.65,1.86,il1β,1.80 ,28.95,0.06,immune_modulation,
7,IM,110,18.73,1.90 ,24.68,1.80 ,23.11,2.00 ,15.32,1.86,il6,,34.07,0.3,immune_modulation,
8,IM,110,18.22,1.90 ,23.58,1.80 ,21.72,2.00 ,14.65,1.86,il6,,32.85,0,immune_modulation,
9,IM,110,18.26,1.90 ,24.2,1.80 ,22.45,2.00 ,14.98,1.86,il6,,33.78,0.47,immune_modulation,
10,IM,110,18.12,1.90 ,23.58,1.80 ,21.59,2.00 ,14.43,1.86,il6,,37.65,2.72,immune_modulation,
11,IM,110,18.24,1.90 ,24.13,1.80 ,22.18,2.00 ,14.85,1.86,il6,,32.46,0.33,immune_modulation,
12,IM,110,18.07,1.90 ,23.81,1.80 ,21.94,2.00 ,14.75,1.86,il6,,34.2,0.06,immune_modulation,
13,REF,111,18.24,1.90 ,23.91,1.80 ,22.08,2.00 ,14.9,1.86,il6,,33.96,0,immune_modulation,
14,REF,111,18.14,1.90 ,23.75,1.80 ,22.13,2.00 ,14.74,1.86,il6,,34.59,0.08,immune_modulation,
15,REF,111,18.29,1.90 ,24.02,1.80 ,22.19,2.00 ,15.09,1.86,il6,,35.67,0.4,immune_modulation,
