Sample_ID,Diet,Net_pen,gapdh_Cq,gapdh_PE,rnapo2_Cq,rnapo2_PE,hprt1_Cq,hprt1_PE,actb_Cq,actb_PE,Target,Target_PE,Target_Cq,Target_Cq_error,Target_func,Comments
7,IM,110,18.64,1.90 ,24.72,1.80 ,21.39,2.00 ,14.68,1.86,myd88,1.80 ,24.22,0.03,Immune_modulation
8,IM,110,19.09,1.90 ,23.88,1.80 ,21.36,2.00 ,14.34,1.86,myd88,1.80 ,23.55,0,Immune_modulation
9,IM,110,18.83,1.90 ,24.57,1.80 ,21.78,2.00 ,14.7,1.86,myd88,1.80 ,24.55,0.17,Immune_modulation
10,IM,110,18.53,1.90 ,24.02,1.80 ,21.72,2.00 ,14.09,1.86,myd88,1.80 ,23.73,0.06,Immune_modulation
11,IM,110,18.66,1.90 ,24.37,1.80 ,21.22,2.00 ,14.48,1.86,myd88,1.80 ,24.7,0.01,Immune_modulation
12,IM,110,19.05,1.90 ,24.11,1.80 ,21.73,2.00 ,14.27,1.86,myd88,1.80 ,23.62,0.02,Immune_modulation
13,REF,111,18.02,1.90 ,24.01,1.80 ,21.83,2.00 ,14.12,1.86,myd88,1.80 ,23.79,0.01,Immune_modulation
14,REF,111,18.23,1.90 ,24.18,1.80 ,22.35,2.00 ,14.41,1.86,myd88,1.80 ,23.83,0.01,Immune_modulation
15,REF,111,18.61,1.90 ,23.72,1.80 ,21.35,2.00 ,14.55,1.86,myd88,1.80 ,23.75,0.01,Immune_modulation
16,REF,111,18.58,1.90 ,24.23,1.80 ,21.89,2.00 ,14.31,1.86,myd88,1.80 ,23.98,0.04,Immune_modulation
17,REF,111,18.46,1.90 ,24.18,1.80 ,21.18,2.00 ,14.53,1.86,myd88,1.80 ,25.01,0.03,Immune_modulation
18,REF,111,18.47,1.90 ,24.02,1.80 ,21.52,2.00 ,14.38,1.86,myd88,1.80 ,24.55,0.08,Immune_modulation
25,REF,101,19.1,1.90 ,23.95,1.80 ,21.76,2.00 ,14.14,1.86,myd88,1.80 ,23.69,0.05,Immune_modulation
26,REF,101,18.2,1.90 ,23.94,1.80 ,20.87,2.00 ,14.19,1.86,myd88,1.80 ,24.31,0.03,Immune_modulation
27,REF,101,19.49,1.90 ,23.8,1.80 ,21.61,2.00 ,14.2,1.86,myd88,1.80 ,23.68,0.13,Immune_modulation
28,REF,101,18.44,1.90 ,24.23,1.80 ,21.54,2.00 ,14.59,1.86,myd88,1.80 ,24.64,0.04,Immune_modulation
29,REF,101,18.3,1.90 ,24.11,1.80 ,21.67,2.00 ,14.24,1.86,myd88,1.80 ,23.92,0.01,Immune_modulation
30,REF,101,18.56,1.90 ,24.23,1.80 ,21.93,2.00 ,14.4,1.86,myd88,1.80 ,23.88,0.04,Immune_modulation
43,IM,104,18.31,1.90 ,24.11,1.80 ,21.87,2.00 ,14.62,1.86,myd88,1.80 ,24.16,0.08,Immune_modulation
44,IM,104,18.24,1.90 ,23.93,1.80 ,21.12,2.00 ,14.43,1.86,myd88,1.80 ,24,0.01,Immune_modulation
45,IM,104,18.4,1.90 ,24.18,1.80 ,21.14,2.00 ,14.58,1.86,myd88,1.80 ,24.49,0.01,Immune_modulation
46,IM,104,18.37,1.90 ,24.2,1.80 ,21.37,2.00 ,14.51,1.86,myd88,1.80 ,24.3,0.04,Immune_modulation
47,IM,104,18.45,1.90 ,24.06,1.80 ,21.07,2.00 ,14.52,1.86,myd88,1.80 ,24.68,0.02,Immune_modulation
48,IM,104,18.28,1.90 ,23.95,1.80 ,22.17,2.00 ,14.33,1.86,myd88,1.80 ,23.67,0.03,Immune_modulation
49,IM,105,18.57,1.90 ,24.17,1.80 ,20.95,2.00 ,14.63,1.86,myd88,1.80 ,24.39,0.16,Immune_modulation
50,IM,105,18.66,1.90 ,23.79,1.80 ,21.02,2.00 ,14.07,1.86,myd88,1.80 ,24.02,0.02,Immune_modulation
51,IM,105,18.9,1.90 ,24.21,1.80 ,22.14,2.00 ,14.26,1.86,myd88,1.80 ,23.87,0.06,Immune_modulation
52,IM,105,18.38,1.90 ,24.09,1.80 ,21.82,2.00 ,13.97,1.86,myd88,1.80 ,23.6,0.04,Immune_modulation
53,IM,105,18.62,1.90 ,24.24,1.80 ,21.44,2.00 ,14.35,1.86,myd88,1.80 ,24.15,0.09,Immune_modulation
54,IM,105,18.29,1.90 ,24.19,1.80 ,21.31,2.00 ,14.32,1.86,myd88,1.80 ,24.33,0.08,Immune_modulation
55,REF,106,18.26,1.90 ,23.99,1.80 ,21.84,2.00 ,14.44,1.86,myd88,1.80 ,23.82,0.04,Immune_modulation
56,REF,106,18.43,1.90 ,23.85,1.80 ,21.44,2.00 ,14.2,1.86,myd88,1.80 ,23.9,0.03,Immune_modulation
57,REF,106,18.78,1.90 ,24.41,1.80 ,21.51,2.00 ,14.42,1.86,myd88,1.80 ,24.65,0.13,Immune_modulation
58,REF,106,18.55,1.90 ,24.44,1.80 ,21.67,2.00 ,14.56,1.86,myd88,1.80 ,24.94,0.01,Immune_modulation
59,REF,106,18.13,1.90 ,24.15,1.80 ,21.22,2.00 ,14.41,1.86,myd88,1.80 ,24.63,0.04,Immune_modulation
60,REF,106,18.5,1.90 ,24.32,1.80 ,22.21,2.00 ,14.43,1.86,myd88,1.80 ,23.97,0.08,Immune_modulation
7,IM,110,18.64,1.90 ,24.72,1.80 ,21.39,2.00 ,14.68,1.86,tnfα,1.97,30.33,0.4,Immune_modulation,30.04_30.61
